Report Refresh Date,User Principal Name,Display Name,Last Activity Date,Teams Copilot Active,Word Copilot Active,Excel Copilot Active,PowerPoint Copilot Active,Outlook Copilot Active,OneNote Copilot Active
2026-04-14,alice@contoso.com,Alice Johnson,2026-04-13,Yes,Yes,No,Yes,Yes,No
2026-04-14,bob@contoso.com,Bob Smith,2026-04-12,Yes,No,Yes,No,Yes,No
2026-04-14,carol@contoso.com,Carol Williams,2026-04-14,Yes,Yes,Yes,Yes,Yes,Yes
2026-04-14,dave@contoso.com,Dave Brown,2026-04-10,No,Yes,No,No,Yes,No
2026-04-14,eve@contoso.com,Eve Davis,2026-04-13,Yes,No,No,No,Yes,No
2026-04-14,frank@contoso.com,Frank Miller,2026-04-08,No,No,No,No,No,No
2026-04-14,grace@contoso.com,Grace Wilson,2026-04-14,Yes,Yes,Yes,No,Yes,No
2026-04-14,henry@contoso.com,Henry Moore,2026-04-11,Yes,No,No,Yes,No,No
2026-04-14,iris@contoso.com,Iris Taylor,2026-04-14,Yes,Yes,No,No,Yes,Yes
2026-04-14,jack@contoso.com,Jack Anderson,2026-04-07,No,No,Yes,No,No,No
